precinct,borough,phase,adoption_earliest,adoption_latest,confidence,evidence
25,MN,pilot_launch,2021-06-01,2021-06-30,high,Original three-precinct Harlem pilot; IBO (Jan 2026) confirms exactly three precincts operational in Q1 2022
28,MN,pilot_launch,2021-06-01,2021-06-30,high,Original three-precinct Harlem pilot; IBO (Jan 2026) confirms exactly three precincts operational in Q1 2022
32,MN,pilot_launch,2021-06-01,2021-06-30,high,Original three-precinct Harlem pilot; IBO (Jan 2026) confirms exactly three precincts operational in Q1 2022
26,MN,manhattan_north,2021-11-01,2022-12-31,low,"OCMH announced Nov 2021 expansion 'East Harlem to the Hudson River'; IBO still counts 3 precincts in Q1 2022, so that expansion may have widened coverage without adding precincts. Date range spans both readings."
30,MN,manhattan_north,2021-11-01,2022-12-31,low,"OCMH announced Nov 2021 expansion 'East Harlem to the Hudson River'; IBO still counts 3 precincts in Q1 2022, so that expansion may have widened coverage without adding precincts. Date range spans both readings."
33,MN,washington_heights_inwood,2022-03-01,2022-03-31,medium,"OCMH: March 2022 expansion to Washington Heights and Inwood; precinct assignment inferred from neighborhood coverage, not stated by precinct number"
34,MN,washington_heights_inwood,2022-03-01,2022-03-31,medium,"OCMH: March 2022 expansion to Washington Heights and Inwood; precinct assignment inferred from neighborhood coverage, not stated by precinct number"
40,BX,south_bronx,2022-03-01,2023-12-31,low,"South Bronx entered in three tranches (Mar 2022 'parts of', Jun 2022 'two additional precincts', Oct 2022 'remainder'); tranche membership not published by precinct number. Latest bound widened to 2023-12-31 so the IBO Q1-2023 count of 11 operational precincts falls inside the bound."
41,BX,south_bronx,2022-03-01,2023-12-31,low,"South Bronx entered in three tranches (Mar 2022 'parts of', Jun 2022 'two additional precincts', Oct 2022 'remainder'); tranche membership not published by precinct number. Latest bound widened to 2023-12-31 so the IBO Q1-2023 count of 11 operational precincts falls inside the bound."
42,BX,south_bronx,2022-03-01,2023-12-31,low,"South Bronx entered in three tranches (Mar 2022 'parts of', Jun 2022 'two additional precincts', Oct 2022 'remainder'); tranche membership not published by precinct number. Latest bound widened to 2023-12-31 so the IBO Q1-2023 count of 11 operational precincts falls inside the bound."
43,BX,south_bronx,2022-03-01,2023-12-31,low,"South Bronx entered in three tranches (Mar 2022 'parts of', Jun 2022 'two additional precincts', Oct 2022 'remainder'); tranche membership not published by precinct number. Latest bound widened to 2023-12-31 so the IBO Q1-2023 count of 11 operational precincts falls inside the bound."
44,BX,south_bronx,2022-03-01,2023-12-31,low,"South Bronx entered in three tranches (Mar 2022 'parts of', Jun 2022 'two additional precincts', Oct 2022 'remainder'); tranche membership not published by precinct number. Latest bound widened to 2023-12-31 so the IBO Q1-2023 count of 11 operational precincts falls inside the bound."
73,BK,east_ny_brownsville,2022-10-01,2022-10-31,medium,OCMH: October 2022 expansion to East New York and Brownsville; precinct assignment inferred from neighborhood coverage
75,BK,east_ny_brownsville,2022-10-01,2022-10-31,medium,OCMH: October 2022 expansion to East New York and Brownsville; precinct assignment inferred from neighborhood coverage
104,QN,queens_brooklyn_2023,2023-03-01,2024-12-31,low,OCMH: March 2023 first Queens expansion plus additional Brooklyn neighborhoods. Precinct-level dates not published. Latest bound widened to 2024-12-31 so the IBO Q1-2024 count of 25 operational precincts falls inside the bound.
108,QN,queens_brooklyn_2023,2023-03-01,2024-12-31,low,OCMH: March 2023 first Queens expansion plus additional Brooklyn neighborhoods. Precinct-level dates not published. Latest bound widened to 2024-12-31 so the IBO Q1-2024 count of 25 operational precincts falls inside the bound.
112,QN,queens_brooklyn_2023,2023-03-01,2024-12-31,low,OCMH: March 2023 first Queens expansion plus additional Brooklyn neighborhoods. Precinct-level dates not published. Latest bound widened to 2024-12-31 so the IBO Q1-2024 count of 25 operational precincts falls inside the bound.
114,QN,queens_brooklyn_2023,2023-03-01,2024-12-31,low,OCMH: March 2023 first Queens expansion plus additional Brooklyn neighborhoods. Precinct-level dates not published. Latest bound widened to 2024-12-31 so the IBO Q1-2024 count of 25 operational precincts falls inside the bound.
115,QN,queens_brooklyn_2023,2023-03-01,2024-12-31,low,OCMH: March 2023 first Queens expansion plus additional Brooklyn neighborhoods. Precinct-level dates not published. Latest bound widened to 2024-12-31 so the IBO Q1-2024 count of 25 operational precincts falls inside the bound.
61,BK,queens_brooklyn_2023,2023-03-01,2024-12-31,low,OCMH: March 2023 first Queens expansion plus additional Brooklyn neighborhoods. Precinct-level dates not published. Latest bound widened to 2024-12-31 so the IBO Q1-2024 count of 25 operational precincts falls inside the bound.
63,BK,queens_brooklyn_2023,2023-03-01,2024-12-31,low,OCMH: March 2023 first Queens expansion plus additional Brooklyn neighborhoods. Precinct-level dates not published. Latest bound widened to 2024-12-31 so the IBO Q1-2024 count of 25 operational precincts falls inside the bound.
67,BK,queens_brooklyn_2023,2023-03-01,2024-12-31,low,OCMH: March 2023 first Queens expansion plus additional Brooklyn neighborhoods. Precinct-level dates not published. Latest bound widened to 2024-12-31 so the IBO Q1-2024 count of 25 operational precincts falls inside the bound.
